User_ID,Age,Education_Level,Stream,Personality_Type,Preferred_Work_Style,Interest_Area,Logical_Score,Creative_Score,Communication_Score,Tech_Score,Math_Score,Biology_Score,Leadership_Score,Problem_Solving_Score,Risk_Taking_Level,Stress_Tolerance,Learning_Speed,Work_Preference,Recommended_Career,Why_Recommended,Steps_To_Achieve,Approx_Salary_India_2026,Top_Colleges_India,Demand_Level
1441,31,Postgraduate,Engineering,Organizer,Team,Law,76,31,42,67,74,31,34,72,35,54,73,Field,Mechanical Engineer,Strong math and logical skills suit mechanical engineering roles.,1. B.Tech Mechanical 2. CAD/CAM skills 3. GATE for PSUs/M.Tech 4. Internships in manufacturing 5. BHEL/TATA/Maruti etc.,5-15 LPA,"IITs, NITs, VIT, Manipal, PEC",Medium
1442,17,Diploma,Arts,Innovator,Team,Design,53,83,46,91,73,79,38,70,42,66,81,Remote,Game Developer,Blend of creativity and technical skills is ideal for game development.,1. Learn Unity/Unreal Engine 2. C++/C# programming 3. B.Tech CS or B.Des 4. Build game portfolio 5. Gaming studios,6-16 LPA,"MAAC, Arena Animation, MIT-WPU, Amity, Whistling Woods",Medium
1443,27,Postgraduate,Engineering,Innovator,Hybrid,Technology,89,62,91,100,87,5,74,82,41,56,60,Hybrid,AI Engineer,Exceptional tech and math scores indicate AI engineering aptitude.,1. Master ML/DL frameworks 2. Research publications 3. M.Tech/MS AI 4. Contribute to open-source 5. Join AI labs,15-25 LPA,"IIT Bombay, IIT Delhi, IISc, IIIT-H, CMI",High
1444,21,Undergraduate,Engineering,Innovator,Independent,Healthcare,87,46,53,88,88,53,38,80,45,62,70,Hybrid,AI Engineer,Exceptional tech and math scores indicate AI engineering aptitude.,1. Master ML/DL frameworks 2. Research publications 3. M.Tech/MS AI 4. Contribute to open-source 5. Join AI labs,15-25 LPA,"IIT Bombay, IIT Delhi, IISc, IIIT-H, CMI",High
1445,26,Undergraduate,Engineering,Analytical,Hybrid,Media,81,19,46,74,80,46,59,79,53,78,61,Hybrid,Data Scientist,High math and analytical skills suit data science roles.,1. Learn Python/R & statistics 2. ML/AI courses 3. Kaggle projects 4. B.Tech/M.Tech/MCA 5. Join analytics firms,10-24 LPA,"IITs, IISc, IIIT-H, Manipal, Amity",High
1446,20,Diploma,Arts,Innovator,Team,Business,72,87,69,65,42,83,68,61,30,64,56,Hybrid,Graphic Designer,Exceptional creative aptitude is the foundation for graphic design.,1. Learn Adobe Suite (PS/AI/ID) 2. B.Des or Diploma 3. Build design portfolio 4. Freelance projects 5. Design agencies/in-house teams,4-12 LPA,"NID, NIFT, Srishti, Pearl Academy, MIT-ID",Medium
1447,32,Postgraduate,Engineering,Innovator,Team,Law,68,73,76,46,69,56,86,57,90,58,71,Hybrid,Entrepreneur,High leadership and risk-taking aptitude are ideal for entrepreneurship.,1. Identify market gap 2. Build MVP 3. Seek funding (angel/VC) 4. MBA helpful 5. Join startup ecosystem,Variable 5-25 LPA,"IITs, IIMs, ISB, BITS, NID",High
1448,22,Diploma,Arts,Creative,Hybrid,Media,84,87,66,57,12,45,38,69,55,61,69,Hybrid,Graphic Designer,Exceptional creative aptitude is the foundation for graphic design.,1. Learn Adobe Suite (PS/AI/ID) 2. B.Des or Diploma 3. Build design portfolio 4. Freelance projects 5. Design agencies/in-house teams,4-12 LPA,"NID, NIFT, Srishti, Pearl Academy, MIT-ID",Medium
1449,21,Undergraduate,Engineering,Analytical,Independent,Education,75,63,58,73,85,71,5,78,58,80,63,Field,Mechanical Engineer,Strong math and logical skills suit mechanical engineering roles.,1. B.Tech Mechanical 2. CAD/CAM skills 3. GATE for PSUs/M.Tech 4. Internships in manufacturing 5. BHEL/TATA/Maruti etc.,5-15 LPA,"IITs, NITs, VIT, Manipal, PEC",Medium
1450,22,Undergraduate,Arts,Creative,Independent,Business,69,77,85,38,78,26,75,45,72,63,79,Office,Marketing Manager,Creative leadership and communication drive marketing management.,1. BBA/BA 2. MBA Marketing 3. Digital marketing skills 4. Brand management experience 5. FMCG/e-commerce/media,8-20 LPA,"MICA, IIM-A, XLRI, NMIMS, Amity",High
1451,35,Postgraduate,Science,Helper,Hybrid,Design,39,72,82,46,64,95,40,80,50,77,69,Office,Doctor,High biology aptitude and stress tolerance suit the medical profession.,1. Score high in NEET 2. MBBS (5.5 yrs) 3. MD/MS specialization 4. Residency 5. Government/private hospitals,8-25 LPA,"AIIMS, CMC Vellore, JIPMER, MAMC, KMC",High
1452,18,Undergraduate,Commerce,Leader,Hybrid,Law,80,43,79,79,95,43,68,75,39,54,77,Office,Lawyer,Strong communication and logical reasoning are essential for law.,1. Clear CLAT/AILET 2. BA LLB (5 yrs) 3. Enroll at Bar Council 4. Internships 5. Law firms or judiciary,6-20 LPA,"NLSIU, NALSAR, NLU Delhi, NUJS, Symbiosis Law",Medium
1453,22,Undergraduate,Commerce,Organizer,Team,Education,92,42,55,45,88,39,54,82,30,74,61,Hybrid,Chartered Accountant,Exceptional math and logical skills are core to chartered accountancy.,1. Enroll in ICAI CA Foundation 2. CA Intermediate 3. Articleship (3 yrs) 4. CA Final 5. Practice or join Big 4,7-22 LPA,"ICAI, SRCC, Christ University, Loyola, St. Xaviers",High
1454,28,Undergraduate,Arts,Creative,Team,Finance,64,88,50,63,74,22,77,75,66,58,45,Field,Architect,Creative vision combined with mathematical aptitude suits architecture.,1. Clear NATA/JEE 2. B.Arch (5 yrs) 3. AutoCAD/Revit skills 4. Internship with firms 5. Council of Architecture registration,5-16 LPA,"SPA Delhi, CEPT, IIT Kharagpur, Chandigarh College of Arch, RVCA",Medium
1455,18,Undergraduate,Arts,Leader,Team,Design,69,65,92,76,62,30,48,65,60,58,74,Hybrid,Digital Marketer,Creative communication skills and analytical thinking drive digital marketing.,1. Learn SEO/SEM & social media 2. Google/Meta certifications 3. BBA/MBA Marketing 4. Build campaigns 5. Marketing agencies,4-14 LPA,"MICA, IIMK, Symbiosis, Amity, NMIMS",High
1456,21,Undergraduate,Science,Organizer,Team,Healthcare,83,61,52,69,85,80,44,79,54,61,63,Office,Civil Engineer,Mathematical aptitude and problem solving are core for civil engineering.,1. B.Tech Civil Engineering 2. AutoCAD/STAAD skills 3. GATE for PSUs 4. Site experience 5. CPWD/NHAI/private construction,5-15 LPA,"IITs, NITs, BITS, Jadavpur, Anna University",Medium
1457,27,Undergraduate,Computer Science,Innovator,Team,Education,76,70,48,87,85,95,69,81,47,53,55,Office,Robotics Engineer,Strong technical and mathematical aptitude suits robotics engineering.,1. B.Tech Mechanical/Electronics/CS 2. Robotics specialization 3. ROS/Python/MATLAB 4. Research projects 5. R&D labs/manufacturing,8-20 LPA,"IITs, NIT Trichy, BITS, IIST, IISc",High
1458,27,Undergraduate,Science,Helper,Team,Business,70,47,82,29,58,94,33,80,48,84,69,Office,Doctor,High biology aptitude and stress tolerance suit the medical profession.,1. Score high in NEET 2. MBBS (5.5 yrs) 3. MD/MS specialization 4. Residency 5. Government/private hospitals,8-25 LPA,"AIIMS, CMC Vellore, JIPMER, MAMC, KMC",High
1459,34,Postgraduate,Engineering,Analytical,Hybrid,Design,86,41,31,79,32,53,72,79,73,59,73,Office,Cybersecurity Analyst,Strong tech skills and analytical thinking are core for cybersecurity.,1. Learn networking & OS 2. CEH/CISSP certifications 3. Ethical hacking courses 4. B.Tech CS 5. Security firms,7-18 LPA,"IITs, NITs, CDAC, Symbiosis, SRM",High
1460,25,Postgraduate,Arts,Creative,Independent,Law,38,85,83,40,52,83,73,67,63,64,64,Office,Marketing Manager,Creative leadership and communication drive marketing management.,1. BBA/BA 2. MBA Marketing 3. Digital marketing skills 4. Brand management experience 5. FMCG/e-commerce/media,8-20 LPA,"MICA, IIM-A, XLRI, NMIMS, Amity",High
1461,21,Diploma,Arts,Innovator,Team,Media,16,90,70,57,89,16,24,69,47,51,53,Remote,UI/UX Designer,High creativity and user empathy are key for UI/UX design.,1. Learn Figma/Adobe XD 2. Study design principles 3. Build portfolio 4. B.Des/BCA 5. Join product companies,6-16 LPA,"NID, NIFT, Srishti, MIT-ID, Pearl Academy",High
1462,21,Undergraduate,Computer Science,Organizer,Team,Business,85,25,72,90,72,62,73,76,58,66,52,Hybrid,Business Analyst,Logical reasoning and communication skills align with business analysis.,1. BBA/B.Tech 2. MBA or BA certifications 3. SQL & Excel skills 4. Internships in consulting 5. IT/consulting firms,7-18 LPA,"IIMs, XLRI, Symbiosis, NMIMS, SP Jain",High
1463,30,Postgraduate,Computer Science,Organizer,Independent,Media,74,58,84,48,59,56,78,80,37,45,67,Hybrid,Product Manager,Leadership and strategic thinking are essential for product management.,1. B.Tech or BBA 2. Work experience (2-3 yrs) 3. MBA/PGDM 4. PM certifications (PMI-ACP) 5. Tech/startup companies,12-25 LPA,"IIMs, ISB, XLRI, IIT MBA, SP Jain",High
1464,15,High School,Commerce,Creative,Hybrid,Media,45,76,79,80,85,57,37,43,74,60,80,Hybrid,Content Creator,Creativity and communication skills fuel successful content creation.,1. Choose a niche 2. Learn video editing/writing 3. Build social media presence 4. Monetize via brand deals 5. Scale with team,4-15 LPA,"IIMC, Whistling Woods, SRFTI, Online platforms",High
1465,27,Undergraduate,Computer Science,Analytical,Hybrid,Finance,82,58,32,70,56,46,38,83,72,46,45,Office,Cybersecurity Analyst,Strong tech skills and analytical thinking are core for cybersecurity.,1. Learn networking & OS 2. CEH/CISSP certifications 3. Ethical hacking courses 4. B.Tech CS 5. Security firms,7-18 LPA,"IITs, NITs, CDAC, Symbiosis, SRM",High
1466,24,Diploma,Arts,Innovator,Team,Education,34,96,58,70,49,43,45,66,51,72,63,Remote,Graphic Designer,Exceptional creative aptitude is the foundation for graphic design.,1. Learn Adobe Suite (PS/AI/ID) 2. B.Des or Diploma 3. Build design portfolio 4. Freelance projects 5. Design agencies/in-house teams,4-12 LPA,"NID, NIFT, Srishti, Pearl Academy, MIT-ID",Medium
1467,22,Undergraduate,Commerce,Creative,Team,Law,68,74,85,73,53,71,88,22,74,71,50,Office,Marketing Manager,Creative leadership and communication drive marketing management.,1. BBA/BA 2. MBA Marketing 3. Digital marketing skills 4. Brand management experience 5. FMCG/e-commerce/media,8-20 LPA,"MICA, IIM-A, XLRI, NMIMS, Amity",High
1468,19,Undergraduate,Engineering,Analytical,Independent,Healthcare,81,49,54,88,69,54,30,80,53,72,65,Remote,Cloud Engineer,Tech aptitude and problem-solving suit cloud infrastructure roles.,1. AWS/Azure/GCP certifications 2. Learn DevOps tools 3. B.Tech CS/IT 4. Cloud internships 5. Join cloud teams,8-20 LPA,"NITs, VIT, BITS, Thapar, Manipal",High
1469,18,Undergraduate,Arts,Leader,Hybrid,Technology,57,76,78,69,57,15,74,59,61,56,52,Remote,Digital Marketer,Creative communication skills and analytical thinking drive digital marketing.,1. Learn SEO/SEM & social media 2. Google/Meta certifications 3. BBA/MBA Marketing 4. Build campaigns 5. Marketing agencies,4-14 LPA,"MICA, IIMK, Symbiosis, Amity, NMIMS",High
1470,22,Postgraduate,Engineering,Analytical,Hybrid,Law,82,73,50,71,83,56,82,73,57,64,65,Hybrid,Data Analyst,Strong math and logical aptitude drive data analysis proficiency.,"1. Learn SQL, Excel, Python 2. Tableau/Power BI 3. BCA/B.Tech/B.Sc Statistics 4. Data analytics certifications 5. IT/consulting/banking",6-16 LPA,"IITs, ISI, CMI, BITS, Symbiosis",High
1471,24,Undergraduate,Science,Researcher,Independent,Media,37,35,77,68,53,80,65,73,42,84,64,Field,Doctor,High biology aptitude and stress tolerance suit the medical profession.,1. Score high in NEET 2. MBBS (5.5 yrs) 3. MD/MS specialization 4. Residency 5. Government/private hospitals,8-25 LPA,"AIIMS, CMC Vellore, JIPMER, MAMC, KMC",High
1472,25,Undergraduate,Engineering,Creative,Team,Design,27,89,79,64,63,42,53,72,49,53,52,Remote,UI/UX Designer,High creativity and user empathy are key for UI/UX design.,1. Learn Figma/Adobe XD 2. Study design principles 3. Build portfolio 4. B.Des/BCA 5. Join product companies,6-16 LPA,"NID, NIFT, Srishti, MIT-ID, Pearl Academy",High
1473,33,Postgraduate,Computer Science,Researcher,Team,Education,91,52,40,71,77,63,61,82,48,74,60,Remote,Data Scientist,High math and analytical skills suit data science roles.,1. Learn Python/R & statistics 2. ML/AI courses 3. Kaggle projects 4. B.Tech/M.Tech/MCA 5. Join analytics firms,10-24 LPA,"IITs, IISc, IIIT-H, Manipal, Amity",High
1474,19,Undergraduate,Computer Science,Researcher,Independent,Business,80,50,63,65,95,44,9,80,50,59,74,Hybrid,Data Scientist,High math and analytical skills suit data science roles.,1. Learn Python/R & statistics 2. ML/AI courses 3. Kaggle projects 4. B.Tech/M.Tech/MCA 5. Join analytics firms,10-24 LPA,"IITs, IISc, IIIT-H, Manipal, Amity",High
1475,27,Undergraduate,Computer Science,Analytical,Hybrid,Law,77,68,67,84,56,43,40,72,48,75,74,Field,Network Engineer,Technical aptitude and problem-solving ability suit network engineering.,1. B.Tech CS/IT or BCA 2. CCNA/CCNP certifications 3. Networking fundamentals 4. Internship at ISPs/IT firms 5. Telecom companies,5-14 LPA,"NITs, VIT, Manipal, SRM, Amity",Medium
1476,26,Undergraduate,Science,Helper,Team,Business,66,54,79,73,38,93,84,84,47,95,67,Field,Doctor,High biology aptitude and stress tolerance suit the medical profession.,1. Score high in NEET 2. MBBS (5.5 yrs) 3. MD/MS specialization 4. Residency 5. Government/private hospitals,8-25 LPA,"AIIMS, CMC Vellore, JIPMER, MAMC, KMC",High
1477,32,Postgraduate,Commerce,Analytical,Independent,Healthcare,73,15,38,72,78,25,88,73,70,65,63,Office,Financial Analyst,Strong math and analytical skills are vital for financial analysis.,1. B.Com/BBA Finance 2. CFA/CFP certifications 3. MBA Finance 4. Excel/Bloomberg proficiency 5. Banks/investment firms,7-20 LPA,"SRCC, NISM, IIMs, SP Jain, NMIMS",High
1478,31,Postgraduate,Commerce,Innovator,Team,Finance,61,74,81,50,50,70,83,68,75,71,52,Field,Entrepreneur,High leadership and risk-taking aptitude are ideal for entrepreneurship.,1. Identify market gap 2. Build MVP 3. Seek funding (angel/VC) 4. MBA helpful 5. Join startup ecosystem,Variable 5-25 LPA,"IITs, IIMs, ISB, BITS, NID",High
1479,23,Postgraduate,Arts,Helper,Independent,Business,54,33,79,55,35,71,63,76,50,71,60,Field,Teacher,Strong communication and patience make an excellent educator.,1. B.Ed after graduation 2. CTET/TET exams 3. Master's in subject 4. NET for college teaching 5. Government/private schools,4-12 LPA,"NCERT, DU, BHU, Jamia, Amity",High
1480,25,Undergraduate,Commerce,Innovator,Team,Finance,57,95,82,12,64,56,60,43,63,50,65,Hybrid,Content Creator,Creativity and communication skills fuel successful content creation.,1. Choose a niche 2. Learn video editing/writing 3. Build social media presence 4. Monetize via brand deals 5. Scale with team,4-15 LPA,"IIMC, Whistling Woods, SRFTI, Online platforms",High
1481,26,Postgraduate,Arts,Creative,Hybrid,Finance,34,93,44,63,78,40,49,86,43,66,59,Office,Architect,Creative vision combined with mathematical aptitude suits architecture.,1. Clear NATA/JEE 2. B.Arch (5 yrs) 3. AutoCAD/Revit skills 4. Internship with firms 5. Council of Architecture registration,5-16 LPA,"SPA Delhi, CEPT, IIT Kharagpur, Chandigarh College of Arch, RVCA",Medium
1482,19,Undergraduate,Engineering,Creative,Hybrid,Finance,30,87,95,70,79,39,42,67,67,62,66,Office,Architect,Creative vision combined with mathematical aptitude suits architecture.,1. Clear NATA/JEE 2. B.Arch (5 yrs) 3. AutoCAD/Revit skills 4. Internship with firms 5. Council of Architecture registration,5-16 LPA,"SPA Delhi, CEPT, IIT Kharagpur, Chandigarh College of Arch, RVCA",Medium
1483,27,Undergraduate,Engineering,Analytical,Team,Business,73,63,76,61,78,79,49,71,51,60,75,Field,Civil Engineer,Mathematical aptitude and problem solving are core for civil engineering.,1. B.Tech Civil Engineering 2. AutoCAD/STAAD skills 3. GATE for PSUs 4. Site experience 5. CPWD/NHAI/private construction,5-15 LPA,"IITs, NITs, BITS, Jadavpur, Anna University",Medium
1484,35,Postgraduate,Computer Science,Analytical,Hybrid,Technology,90,56,5,74,90,33,45,74,67,76,56,Remote,Data Scientist,High math and analytical skills suit data science roles.,1. Learn Python/R & statistics 2. ML/AI courses 3. Kaggle projects 4. B.Tech/M.Tech/MCA 5. Join analytics firms,10-24 LPA,"IITs, IISc, IIIT-H, Manipal, Amity",High
1485,24,Postgraduate,Engineering,Creative,Independent,Law,43,90,39,69,81,52,40,75,37,62,71,Office,Architect,Creative vision combined with mathematical aptitude suits architecture.,1. Clear NATA/JEE 2. B.Arch (5 yrs) 3. AutoCAD/Revit skills 4. Internship with firms 5. Council of Architecture registration,5-16 LPA,"SPA Delhi, CEPT, IIT Kharagpur, Chandigarh College of Arch, RVCA",Medium
1486,28,Undergraduate,Commerce,Leader,Independent,Education,31,73,84,43,5,95,68,44,62,57,60,Hybrid,Marketing Manager,Creative leadership and communication drive marketing management.,1. BBA/BA 2. MBA Marketing 3. Digital marketing skills 4. Brand management experience 5. FMCG/e-commerce/media,8-20 LPA,"MICA, IIM-A, XLRI, NMIMS, Amity",High
1487,24,Diploma,Computer Science,Analytical,Hybrid,Education,73,68,53,79,14,41,29,78,41,60,68,Field,Network Engineer,Technical aptitude and problem-solving ability suit network engineering.,1. B.Tech CS/IT or BCA 2. CCNA/CCNP certifications 3. Networking fundamentals 4. Internship at ISPs/IT firms 5. Telecom companies,5-14 LPA,"NITs, VIT, Manipal, SRM, Amity",Medium
1488,35,Postgraduate,Computer Science,Analytical,Team,Education,70,23,59,87,66,40,53,76,52,40,54,Remote,Cloud Engineer,Tech aptitude and problem-solving suit cloud infrastructure roles.,1. AWS/Azure/GCP certifications 2. Learn DevOps tools 3. B.Tech CS/IT 4. Cloud internships 5. Join cloud teams,8-20 LPA,"NITs, VIT, BITS, Thapar, Manipal",High
1489,30,Postgraduate,Engineering,Researcher,Team,Finance,75,80,40,79,79,17,47,80,46,50,71,Hybrid,Data Analyst,Strong math and logical aptitude drive data analysis proficiency.,"1. Learn SQL, Excel, Python 2. Tableau/Power BI 3. BCA/B.Tech/B.Sc Statistics 4. Data analytics certifications 5. IT/consulting/banking",6-16 LPA,"IITs, ISI, CMI, BITS, Symbiosis",High
1490,25,Undergraduate,Arts,Leader,Hybrid,Finance,81,5,90,68,68,87,81,80,61,59,60,Field,Lawyer,Strong communication and logical reasoning are essential for law.,1. Clear CLAT/AILET 2. BA LLB (5 yrs) 3. Enroll at Bar Council 4. Internships 5. Law firms or judiciary,6-20 LPA,"NLSIU, NALSAR, NLU Delhi, NUJS, Symbiosis Law",Medium
1491,24,Postgraduate,Science,Analytical,Team,Law,85,64,27,78,86,35,38,81,38,63,56,Hybrid,Data Scientist,High math and analytical skills suit data science roles.,1. Learn Python/R & statistics 2. ML/AI courses 3. Kaggle projects 4. B.Tech/M.Tech/MCA 5. Join analytics firms,10-24 LPA,"IITs, IISc, IIIT-H, Manipal, Amity",High
1492,24,Postgraduate,Science,Innovator,Hybrid,Healthcare,75,50,95,93,82,46,33,81,57,46,80,Field,Robotics Engineer,Strong technical and mathematical aptitude suits robotics engineering.,1. B.Tech Mechanical/Electronics/CS 2. Robotics specialization 3. ROS/Python/MATLAB 4. Research projects 5. R&D labs/manufacturing,8-20 LPA,"IITs, NIT Trichy, BITS, IIST, IISc",High
1493,28,Undergraduate,Engineering,Researcher,Team,Finance,76,31,59,88,84,56,69,75,53,52,73,Hybrid,Data Scientist,High math and analytical skills suit data science roles.,1. Learn Python/R & statistics 2. ML/AI courses 3. Kaggle projects 4. B.Tech/M.Tech/MCA 5. Join analytics firms,10-24 LPA,"IITs, IISc, IIIT-H, Manipal, Amity",High
1494,25,Undergraduate,Engineering,Leader,Independent,Education,49,67,79,75,36,72,85,62,99,41,73,Hybrid,Entrepreneur,High leadership and risk-taking aptitude are ideal for entrepreneurship.,1. Identify market gap 2. Build MVP 3. Seek funding (angel/VC) 4. MBA helpful 5. Join startup ecosystem,Variable 5-25 LPA,"IITs, IIMs, ISB, BITS, NID",High
1495,26,Undergraduate,Commerce,Helper,Hybrid,Business,32,70,91,29,15,61,80,73,57,76,63,Office,HR Manager,Strong interpersonal and leadership skills are essential for HR roles.,1. BBA/BA 2. MBA HR 3. SHRM/XLRI certifications 4. HR internships 5. Corporate HR departments,6-16 LPA,"XLRI, TISS, IIMs, Symbiosis, Amity",Medium
1496,35,Postgraduate,Engineering,Researcher,Team,Business,79,40,49,91,83,71,45,81,52,79,68,Remote,AI Engineer,Exceptional tech and math scores indicate AI engineering aptitude.,1. Master ML/DL frameworks 2. Research publications 3. M.Tech/MS AI 4. Contribute to open-source 5. Join AI labs,15-25 LPA,"IIT Bombay, IIT Delhi, IISc, IIIT-H, CMI",High
1497,23,Undergraduate,Computer Science,Creative,Hybrid,Media,70,82,57,81,79,33,47,77,40,61,65,Hybrid,Game Developer,Blend of creativity and technical skills is ideal for game development.,1. Learn Unity/Unreal Engine 2. C++/C# programming 3. B.Tech CS or B.Des 4. Build game portfolio 5. Gaming studios,6-16 LPA,"MAAC, Arena Animation, MIT-WPU, Amity, Whistling Woods",Medium
1498,20,Undergraduate,Science,Organizer,Hybrid,Education,71,52,65,78,85,54,55,75,51,67,72,Field,Civil Engineer,Mathematical aptitude and problem solving are core for civil engineering.,1. B.Tech Civil Engineering 2. AutoCAD/STAAD skills 3. GATE for PSUs 4. Site experience 5. CPWD/NHAI/private construction,5-15 LPA,"IITs, NITs, BITS, Jadavpur, Anna University",Medium
1499,28,Undergraduate,Engineering,Organizer,Hybrid,Education,75,21,60,65,81,57,77,80,52,62,45,Field,Civil Engineer,Mathematical aptitude and problem solving are core for civil engineering.,1. B.Tech Civil Engineering 2. AutoCAD/STAAD skills 3. GATE for PSUs 4. Site experience 5. CPWD/NHAI/private construction,5-15 LPA,"IITs, NITs, BITS, Jadavpur, Anna University",Medium
1500,23,Postgraduate,Commerce,Innovator,Team,Technology,73,76,76,73,32,67,87,42,79,72,70,Hybrid,Entrepreneur,High leadership and risk-taking aptitude are ideal for entrepreneurship.,1. Identify market gap 2. Build MVP 3. Seek funding (angel/VC) 4. MBA helpful 5. Join startup ecosystem,Variable 5-25 LPA,"IITs, IIMs, ISB, BITS, NID",High
1501,23,Undergraduate,Arts,Creative,Independent,Education,47,86,74,57,8,39,45,56,54,67,61,Remote,Graphic Designer,Exceptional creative aptitude is the foundation for graphic design.,1. Learn Adobe Suite (PS/AI/ID) 2. B.Des or Diploma 3. Build design portfolio 4. Freelance projects 5. Design agencies/in-house teams,4-12 LPA,"NID, NIFT, Srishti, Pearl Academy, MIT-ID",Medium
1502,24,Postgraduate,Science,Researcher,Independent,Law,86,40,84,52,28,86,59,84,39,79,59,Office,Doctor,High biology aptitude and stress tolerance suit the medical profession.,1. Score high in NEET 2. MBBS (5.5 yrs) 3. MD/MS specialization 4. Residency 5. Government/private hospitals,8-25 LPA,"AIIMS, CMC Vellore, JIPMER, MAMC, KMC",High
1503,27,Undergraduate,Computer Science,Creative,Team,Media,38,80,65,74,88,45,64,64,47,51,78,Remote,Graphic Designer,Exceptional creative aptitude is the foundation for graphic design.,1. Learn Adobe Suite (PS/AI/ID) 2. B.Des or Diploma 3. Build design portfolio 4. Freelance projects 5. Design agencies/in-house teams,4-12 LPA,"NID, NIFT, Srishti, Pearl Academy, MIT-ID",Medium
1504,21,Undergraduate,Science,Organizer,Team,Healthcare,70,75,50,72,79,58,15,81,49,55,71,Field,Civil Engineer,Mathematical aptitude and problem solving are core for civil engineering.,1. B.Tech Civil Engineering 2. AutoCAD/STAAD skills 3. GATE for PSUs 4. Site experience 5. CPWD/NHAI/private construction,5-15 LPA,"IITs, NITs, BITS, Jadavpur, Anna University",Medium
1505,23,Diploma,Computer Science,Creative,Team,Technology,61,87,77,69,50,72,78,76,42,58,77,Remote,UI/UX Designer,High creativity and user empathy are key for UI/UX design.,1. Learn Figma/Adobe XD 2. Study design principles 3. Build portfolio 4. B.Des/BCA 5. Join product companies,6-16 LPA,"NID, NIFT, Srishti, MIT-ID, Pearl Academy",High
1506,24,Postgraduate,Arts,Creative,Hybrid,Design,31,74,72,68,76,43,76,59,72,59,59,Hybrid,Marketing Manager,Creative leadership and communication drive marketing management.,1. BBA/BA 2. MBA Marketing 3. Digital marketing skills 4. Brand management experience 5. FMCG/e-commerce/media,8-20 LPA,"MICA, IIM-A, XLRI, NMIMS, Amity",High
1507,28,Undergraduate,Computer Science,Creative,Independent,Technology,55,81,60,76,78,74,26,72,56,62,64,Hybrid,Game Developer,Blend of creativity and technical skills is ideal for game development.,1. Learn Unity/Unreal Engine 2. C++/C# programming 3. B.Tech CS or B.Des 4. Build game portfolio 5. Gaming studios,6-16 LPA,"MAAC, Arena Animation, MIT-WPU, Amity, Whistling Woods",Medium
1508,22,Diploma,Engineering,Innovator,Independent,Law,51,77,83,31,15,43,90,74,75,66,45,Hybrid,Entrepreneur,High leadership and risk-taking aptitude are ideal for entrepreneurship.,1. Identify market gap 2. Build MVP 3. Seek funding (angel/VC) 4. MBA helpful 5. Join startup ecosystem,Variable 5-25 LPA,"IITs, IIMs, ISB, BITS, NID",High
1509,22,Diploma,Arts,Creative,Independent,Technology,49,79,81,55,32,51,44,71,70,46,75,Hybrid,Content Creator,Creativity and communication skills fuel successful content creation.,1. Choose a niche 2. Learn video editing/writing 3. Build social media presence 4. Monetize via brand deals 5. Scale with team,4-15 LPA,"IIMC, Whistling Woods, SRFTI, Online platforms",High
1510,23,Undergraduate,Computer Science,Innovator,Team,Healthcare,78,50,49,80,88,71,68,85,30,50,50,Office,Robotics Engineer,Strong technical and mathematical aptitude suits robotics engineering.,1. B.Tech Mechanical/Electronics/CS 2. Robotics specialization 3. ROS/Python/MATLAB 4. Research projects 5. R&D labs/manufacturing,8-20 LPA,"IITs, NIT Trichy, BITS, IIST, IISc",High
1511,27,Postgraduate,Engineering,Researcher,Team,Law,80,56,83,73,59,79,65,84,76,72,54,Remote,Cybersecurity Analyst,Strong tech skills and analytical thinking are core for cybersecurity.,1. Learn networking & OS 2. CEH/CISSP certifications 3. Ethical hacking courses 4. B.Tech CS 5. Security firms,7-18 LPA,"IITs, NITs, CDAC, Symbiosis, SRM",High
1512,19,Undergraduate,Computer Science,Organizer,Team,Education,68,85,88,74,62,52,83,78,70,58,60,Office,Product Manager,Leadership and strategic thinking are essential for product management.,1. B.Tech or BBA 2. Work experience (2-3 yrs) 3. MBA/PGDM 4. PM certifications (PMI-ACP) 5. Tech/startup companies,12-25 LPA,"IIMs, ISB, XLRI, IIT MBA, SP Jain",High
1513,24,Undergraduate,Commerce,Organizer,Independent,Healthcare,79,19,62,41,78,55,23,79,67,61,50,Office,Financial Analyst,Strong math and analytical skills are vital for financial analysis.,1. B.Com/BBA Finance 2. CFA/CFP certifications 3. MBA Finance 4. Excel/Bloomberg proficiency 5. Banks/investment firms,7-20 LPA,"SRCC, NISM, IIMs, SP Jain, NMIMS",High
1514,20,Undergraduate,Computer Science,Researcher,Team,Education,78,66,53,83,45,43,26,78,60,54,64,Office,Cybersecurity Analyst,Strong tech skills and analytical thinking are core for cybersecurity.,1. Learn networking & OS 2. CEH/CISSP certifications 3. Ethical hacking courses 4. B.Tech CS 5. Security firms,7-18 LPA,"IITs, NITs, CDAC, Symbiosis, SRM",High
1515,28,Undergraduate,Engineering,Researcher,Team,Finance,79,59,41,75,62,47,50,85,71,60,59,Remote,Cybersecurity Analyst,Strong tech skills and analytical thinking are core for cybersecurity.,1. Learn networking & OS 2. CEH/CISSP certifications 3. Ethical hacking courses 4. B.Tech CS 5. Security firms,7-18 LPA,"IITs, NITs, CDAC, Symbiosis, SRM",High
